"userID","firstName","lastName","email","password","role","createdTime"
2,Jacky,Liu,jackyl000iu@email.com,"789789",user,"2025-03-18 14:00:52"
5,Sally,Z,sally@gmail.com,abc456,admin,"2025-03-19 17:58:17"
7,Leo,Liu,leo@mail.com,leo123,user,"2025-03-22 13:20:02"
8,Wenjing,Huang,wenjing@mail.com,"456789",admin,"2025-03-22 15:44:09"
9,Harry,Ford,jason@email.com,jason,admin,"2025-03-22 15:53:42"
11,Will,Wendy,will@email.com,willooo,user,"2025-03-22 16:02:25"
12,Ron,Weasley,ron@mail.com,ron123,user,"2025-03-22 18:18:33"
13,Iron,Man,ironman@email.com,iron12345,admin,"2025-03-22 18:19:24"
14,Wendy,Liang,wendy@gmail.com,wendy123,user,"2025-03-23 16:57:39"
15,James,Good,james@gmail.com,james123,admin,"2025-03-23 16:58:24"
